,model,ds,fold_id,train_size,test_size,time,param_random_state,metric_mse_train,metric_mse_test,metric_mae_train,metric_mae_test,metric_r2_train,metric_r2_test,param_n_estimators,param_max_depth,param_algo,param_algo_params,param_gen_algo,metric_wape_train,metric_wape_test
179,DecisionLatticeRegressor,diabetes,3,354,88,11.239905,42,67.32406041255867,3201.788221969493,2.0371379780242767,45.223271581894075,0.9889471612709996,0.38970175102501137,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",,0.01350740497519328,0.2872562364087396
180,DecisionLatticeRegressor,diabetes,3,354,88,12.171413000000001,42,5993.560517055958,5205.432665272944,65.84698338271724,62.93333879434761,0.016015115523740575,0.0077837069376429655,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate,0.436603647146077,0.3997498061139447
181,DecisionLatticeRegressor,diabetes,3,354,88,458.17340700000005,42,67.32406041255867,3351.5233069989613,2.0371379780242767,45.68731106645431,0.9889471612709996,0.3611604941184591,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",exact,0.01350740497519328,0.29020379484971703
182,DecisionLatticeRegressor,diabetes,3,354,88,45.235873,42,5527.826066135293,5311.86159099521,58.935645045345105,62.00293598854965,0.09247645408562932,-0.01250288995933535,,,Sofia,"{'L_max': 100, 'random_state': 42}",,0.3907774700041613,0.393839928323399
183,DecisionLatticeRegressor,diabetes,3,354,88,45.26634,42,6072.289574217179,5648.423603727836,63.658378732367964,62.76501311169498,0.0030898765117616245,-0.07665554241549022,,,Sofia,"{'L_max': 100, 'random_state': 42}",approximate,0.42209193038375437,0.39868060876491684
184,DecisionLatticeRegressor,diabetes,3,354,88,56.880522,42,5527.826066135293,4923.484206479867,58.935645045345105,59.15007374541045,0.09247645408562932,0.0615263778369588,,,Sofia,"{'L_max': 100, 'random_state': 42}",exact,0.3907774700041613,0.37571867255638225
185,DecisionTreeRegressor,diabetes,4,354,88,0.005045,42,0.0,7590.431818181818,0.0,70.0,1.0,-0.173044619768274,,,,,,0.0,0.45088566827697263
186,RandomForestRegressor,diabetes,4,354,88,0.015454,42,1007.6203518473656,4196.687693879789,23.729686953116932,51.89094908115543,0.8260452459170884,0.3514332203918509,5.0,10.0,,,,0.15677776042633387,0.33424121791404465
187,RandomForestRegressor,diabetes,4,354,88,0.264198,42,453.2940805084747,3825.371107954545,17.261553672316385,50.33375,0.9217436803876348,0.4088174290619005,,,,,,0.11404397081054853,0.3242109500805153
188,GradientBoostingRegressor,diabetes,4,354,88,0.073607,42,1011.9872363686568,3737.1965853659694,25.31328882756733,49.90122890300757,0.8252913505420922,0.42244414382606,,,,,,0.16724033229986068,0.32142498488249643
189,LGBMRegressor,diabetes,4,354,88,95.262721,42,456.8814811050445,3665.3700407584615,16.733815839534312,46.63002357287935,0.9211243544803832,0.4335444005343228,,,,,,0.11055730216298962,0.3003544191489813
190,CatBoostRegressor,diabetes,4,354,88,6.5226690000000005,42,126.00242165987694,3503.7879060604027,8.704487073639607,47.6872656625319,0.9782470448979028,0.4585157141958468,,,,,,0.057508975645628506,0.3071643520936032
191,DecisionLatticeRegressor,diabetes,4,354,88,2.696507,42,372.44881279711234,3671.3941164010553,8.543871880391583,49.5189804116959,0.9357007413359508,0.4326134245778964,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",,0.056447820041780124,0.31896283679031173
192,DecisionLatticeRegressor,diabetes,4,354,88,3.0697520000000003,42,5756.740607877416,6352.071029867663,65.33002349241828,70.16985527404728,0.006161006051095486,0.018334803018225654,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate,0.4316236784740127,0.4519797441162466
193,DecisionLatticeRegressor,diabetes,4,354,88,120.59551299999998,42,372.44881279711234,3286.986930504616,8.543871880391583,46.143993642929495,0.9357007413359508,0.4920206878295006,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",exact,0.056447820041780124,0.2972237915808663
194,DecisionLatticeRegressor,diabetes,4,354,88,10.259475,42,105.28609032763993,3922.983114129193,2.916589308673355,52.04013370502656,0.9818234954090426,0.3937322216045749,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",,0.01926937935593527,0.33520214946877014
195,DecisionLatticeRegressor,diabetes,4,354,88,15.309953,42,5688.172292966587,6336.854526151981,64.37674824990651,70.06685727914372,0.017998583901051246,0.020686400166178287,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate,0.4253255609351619,0.4513163109767711
196,DecisionLatticeRegressor,diabetes,4,354,88,454.398413,42,105.28609032763993,3827.6550264221364,2.916589308673355,50.338291883846225,0.9818234954090426,0.40846446649869306,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",exact,0.01926937935593527,0.3242402053709902
197,DecisionLatticeRegressor,diabetes,4,354,88,44.267725,42,5638.564069687468,6543.853250359564,62.09943305085672,69.90033911372143,0.026562907026509985,-0.011303708637508514,,,Sofia,"{'L_max': 100, 'random_state': 42}",,0.41027975028467706,0.4502437302011042
198,DecisionLatticeRegressor,diabetes,4,354,88,44.289733,42,6656.433791390809,7612.226576799347,64.74911676841896,71.50506811287937,-0.1491612898922201,-0.17641283714349631,,,Sofia,"{'L_max': 100, 'random_state': 42}",approximate,0.4277857325548294,0.46058014887522947
199,DecisionLatticeRegressor,diabetes,4,354,88,52.204581,42,5638.564069687468,6469.408595228835,62.09943305085672,69.46032843203976,0.026562907026509985,0.00020115752338978327,,,Sofia,"{'L_max': 100, 'random_state': 42}",exact,0.41027975028467706,0.4474095229116893
