,model,ds,fold_id,train_size,test_size,time,param_random_state,metric_accuracy_train,metric_accuracy_test,metric_f1_train,metric_f1_test,metric_roc_train,metric_roc_test,param_n_estimators,param_max_depth,param_algo,param_algo_params,param_gen_algo
176,DecisionLatticeClassifier,breast,1,559,140,15.776656,42,0.6833631484794276,0.5428571428571428,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",approximate
177,DecisionLatticeClassifier,breast,1,559,140,16.012391,42,0.6833631484794276,0.5428571428571428,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",exact
178,DecisionTreeClassifier,breast,2,559,140,0.0034189999999999997,42,1.0,0.9214285714285714,1.0,0.8910891089108911,1.0,0.9207221350078492,,,,,
179,RandomForestClassifier,breast,2,559,140,0.010975,42,0.9946332737030412,0.9642857142857144,0.9921671018276764,0.9494949494949496,0.9934292688465032,0.9631083202511772,5.0,10.0,,,
180,RandomForestClassifier,breast,2,559,140,0.173876,42,1.0,0.9571428571428572,1.0,0.94,1.0,0.957613814756672,,,,,
181,GradientBoostingClassifier,breast,2,559,140,0.07517599999999999,42,1.0,0.95,1.0,0.9278350515463918,1.0,0.9427001569858712,,,,,
182,LGBMClassifier,breast,2,559,140,0.527518,42,1.0,0.9571428571428572,1.0,0.9411764705882352,1.0,0.9623233908948194,,,,,
183,CatBoostClassifier,breast,2,559,140,6.554814,42,1.0,0.9571428571428572,1.0,0.9411764705882352,1.0,0.9623233908948194,,,,,
184,DecisionLatticeClassifier,breast,2,559,140,0.40513000000000005,42,1.0,0.9428571428571428,1.0,0.9215686274509804,1.0,0.9466248037676608,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",
185,DecisionLatticeClassifier,breast,2,559,140,0.453869,42,0.5474060822898033,0.5142857142857142,0.6015748031496063,0.5903614457831325,0.6540715826521344,0.6263736263736264,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate
186,DecisionLatticeClassifier,breast,2,559,140,8.508486,42,1.0,0.9571428571428572,1.0,0.94,1.0,0.957613814756672,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",exact
187,DecisionLatticeClassifier,breast,2,559,140,0.8219709999999999,42,0.998211091234347,0.9571428571428572,0.9974025974025974,0.9411764705882352,0.9986376021798364,0.9623233908948194,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",
188,DecisionLatticeClassifier,breast,2,559,140,0.9201959999999999,42,0.9087656529516994,0.8571428571428571,0.8822170900692841,0.8305084745762712,0.9292759423251588,0.8901098901098901,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate
189,DecisionLatticeClassifier,breast,2,559,140,15.869014000000002,42,0.6565295169946332,0.65,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",
190,DecisionLatticeClassifier,breast,2,559,140,15.872426999999998,42,0.6565295169946332,0.65,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",approximate
191,DecisionLatticeClassifier,breast,2,559,140,16.109499,42,0.6565295169946332,0.65,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",exact
192,DecisionTreeClassifier,breast,3,559,140,0.0035060000000000004,42,1.0,0.9571428571428572,1.0,0.9090909090909091,1.0,0.960935187925422,,,,,
193,RandomForestClassifier,breast,3,559,140,0.011769,42,0.9946332737030412,0.9785714285714284,0.992874109263658,0.9523809523809524,0.9947537181061537,0.97469665581533,5.0,10.0,,,
194,RandomForestClassifier,breast,3,559,140,0.17716300000000001,42,1.0,0.9785714285714284,1.0,0.9508196721311476,1.0,0.9631547795205684,,,,,
195,GradientBoostingClassifier,breast,3,559,140,0.080996,42,1.0,0.9785714285714284,1.0,0.9523809523809524,1.0,0.97469665581533,,,,,
