,ensemble_model,ds,fold_id,train_size,test_size,ensemble_time,dl_time,param_random_state,param_max_depth,ensemble_metric_mse_train,ensemble_metric_mse_test,ensemble_metric_mae_train,ensemble_metric_mae_test,ensemble_metric_r2_train,ensemble_metric_r2_test,ensemble_metric_wape_train,ensemble_metric_wape_test,ensemble_metric_rmse_perc_train,ensemble_metric_rmse_perc_test,dl_metric_mse_train,dl_metric_mse_test,dl_metric_mae_train,dl_metric_mae_test,dl_metric_r2_train,dl_metric_r2_test,dl_metric_wape_train,dl_metric_wape_test,dl_metric_rmse_perc_train,dl_metric_rmse_perc_test,dl_ens_metric_mse_train,dl_ens_metric_mse_test,dl_ens_metric_mae_train,dl_ens_metric_mae_test,dl_ens_metric_r2_train,dl_ens_metric_r2_test,dl_ens_metric_wape_train,dl_ens_metric_wape_test,dl_ens_metric_rmse_perc_train,dl_ens_metric_rmse_perc_test,param_n_estimators
21,DecisionTreeRegressor,boston,2,405,101,0.003945,1.059847,42,10,0.9265211922255784,30.735571918559547,0.5438934468174234,3.9585134532828636,0.986663518981116,0.6162236826287311,2.7983566985391137,13.167119196484943,0.04640139523174687,0.1866344522337766,0.926521192225578,30.870470158383533,0.5438934468174239,3.982110813018837,0.986663518981116,0.6145392906858482,2.798356698539115,13.26113258188723,0.046401395231746856,0.18704357256134932,4.133241582417252e-30,0.05624037403740372,1.0614280373700262e-15,0.023597359735973822,1.0,0.9994235674365576,7.29961637675124e-15,0.1006999704237857,9.80051179635762e-17,0.008115535162897798,
22,RandomForestRegressor,boston,2,405,101,0.019673,7.474858,42,4,8.28235396852756,31.766657797419338,2.055157050029973,4.201616405418555,0.8807825903823977,0.6033491429087336,11.518615683057954,13.375393474122502,0.1387331522921214,0.18973914069983933,8.28235396852756,31.75542459895556,2.055157050029973,4.200234313088838,0.8807825903823977,0.603489404998216,11.51861568305796,13.369223419079123,0.1387331522921214,0.18970559033560158,4.6973258247678817e-29,0.00019292809999355972,5.3466147832812475e-15,0.0013820923297203607,1.0,0.9999970926445287,2.756057623312065e-14,0.007566323257050257,3.31206854083322e-16,0.0005044756521165021,10
23,GradientBoostingRegressor,boston,2,405,101,0.013169,7.717948,42,,17.39654851420681,59.939790845100305,3.0693290300593516,5.505428556769033,0.7495915463126004,0.25156843492324454,18.307938441105144,15.987811791649992,0.20106427259986767,0.2606326253252167,17.593448155589265,59.29556503283559,3.0693290300593516,5.4981264665786025,0.7467573441896954,0.259612489234047,18.295633269659657,16.000037608612427,0.2021989255760396,0.2592282171475994,0.0185902476190475,0.04930283161200818,0.030154497354501483,0.09152393526925999,0.9991813595659239,0.9981149815079212,0.0881594283548957,0.2844473115279374,0.006572732356401934,0.008962798064453154,10
24,DecisionTreeRegressor,boston,3,405,101,0.00652,1.146319,42,10,0.6494277163166052,51.74214397988809,0.4247286622842178,4.340819153343905,0.9920470453274797,0.4100894812924676,2.17327064217657,23.387698989104855,0.03480322319388263,0.35898474382014894,0.6494277163166052,51.74214397988808,0.4247286622842183,4.340819153343905,0.9920470453274797,0.4100894812924677,2.1732706421765706,23.38769898910486,0.03480322319388263,0.3589847438201489,2.94702851752936e-30,7.029453610880303e-31,7.478242990561549e-16,1.934646062713144e-16,1.0,1.0,4.364734880134929e-15,1.3362669398691044e-15,7.413891502146707e-17,4.176144105160688e-17,
25,RandomForestRegressor,boston,3,405,101,0.020776,7.073892,42,4,6.641015967924099,47.30085032232475,1.9489803565744765,3.955958257528729,0.9186734756687911,0.4607245273834072,10.039415190706032,22.21186311057334,0.11129388917388174,0.3432323835425853,7.545178768637008,46.56130592842255,2.085800813743821,4.066323915487835,0.9076010104967887,0.4691560492233925,10.601065727495783,23.299755378553343,0.11862844124764424,0.34053860964462396,0.8774268303800514,0.22369741097374726,0.5574177170755238,0.3676339359801818,0.987849075607204,0.9940995484463734,2.094523493518506,1.8555039880199642,0.04036290310020101,0.02300822436970952,10
26,GradientBoostingRegressor,boston,3,405,101,0.012283,7.038497,42,,17.586999927310988,58.53216549999227,3.1539390767250115,5.010786066813951,0.7846278966336356,0.3326766644111865,16.65166490665016,33.30782276684644,0.18111313069624302,0.381813322611089,17.58699992731098,58.53216549999227,3.15393907672501,5.0107860668139494,0.7846278966336357,0.3326766644111865,16.651664906650147,33.307822766846435,0.181113130696243,0.381813322611089,3.764716932373263e-29,1.1746998034182196e-29,5.035204078102438e-15,2.5326275730062976e-15,1.0,1.0,2.1912500275694946e-14,1.1035918402348645e-14,2.64984347155205e-16,1.601414657254276e-16,10
27,DecisionTreeRegressor,boston,4,405,101,0.005522,1.334711,42,10,0.509800151494596,73.68644144745173,0.38113010446343787,4.896353679323976,0.9940685327976525,-1.7713842103628572,1.7504075263327261,32.08288565914346,0.0295812160418688,0.5331727142254382,0.5098001514945959,73.68644144745173,0.3811301044634384,4.896353679323976,0.9940685327976525,-1.7713842103628572,1.7504075263327281,32.08288565914346,0.0295812160418688,0.5331727142254382,4.181936700023487e-30,2.4993612838685523e-31,9.539694137519865e-16,1.407015318336832e-16,1.0,1.0,5.386127473720086e-15,1.4775531906337475e-15,8.472367206926907e-17,2.656356421129645e-17,
28,RandomForestRegressor,boston,4,405,101,0.02089,8.051264,42,4,7.415049491582845,23.582012597184196,2.0859783300123635,3.33328498311244,0.9137267363805923,0.11306861782678168,9.683343349892072,23.490895025839063,0.11281661639631388,0.30162307102890445,8.925722912418426,24.030031021067707,2.281056103576149,3.3801131357133434,0.8961502216956229,0.09621841904512574,10.4483551421582,24.285594555268823,0.12377637043059071,0.3044747550066434,1.322223559168726,0.18443407845483611,0.595878361142811,0.3601211639779273,0.9815305763481724,0.9952295202366669,2.0699221146758227,2.155150696277744,0.04753613283318527,0.024713345453709273,10
29,GradientBoostingRegressor,boston,4,405,101,0.014395,8.089576,42,,18.902378238310735,31.754941086367634,3.336712846289701,4.465866542452541,0.7800729634186936,-0.19431934286745878,16.628399593911595,37.76342839404003,0.1801251136157769,0.3500094576553044,19.940153345293073,32.161680329214256,3.4031606617890224,4.508869025124295,0.7679985672216111,-0.20961701084025597,16.913361103015983,38.21457669442293,0.18500364712404346,0.35224390690518914,0.12555644749978206,0.11222374970648175,0.08281233354436501,0.08034340726761435,0.9957707649079759,0.9911023767916217,0.3108101427133143,0.35992684097160477,0.014680321027709067,0.016692309002196044,10
30,DecisionTreeRegressor,diabetes,0,353,89,0.005279,1.00212,42,10,222.9544964081195,6058.2858744874375,7.476362775438368,59.92874541189148,0.9634481740697532,-0.2431680075381999,7.532704392962628,57.785560724953086,0.09538321187032833,0.5780951537913628,222.9544964081195,6009.386235013019,7.476362775438372,59.649123348561545,0.9634481740697532,-0.23313373899522016,7.532704392962628,57.6403834632028,0.09538321187032833,0.5757573705160636,2.1582161694794456e-28,14.511401476460227,7.145684736397609e-15,0.4979060265577168,1.0,0.9973750514430233,5.857093419518642e-15,0.27421496353646063,9.384503395691332e-17,0.02623799892856761,
31,RandomForestRegressor,diabetes,0,353,89,0.018119,5.186379,42,4,2100.8814481464933,2970.1783841276224,37.291678996084265,44.391029992990866,0.6555752217162341,0.39051559792209944,32.97482240600903,43.9195141269068,0.2927956349058461,0.40477689429209585,2101.6801450541184,2973.819819830095,37.296691228893955,44.42116449627703,0.6554442809601209,0.389768370660031,32.973505820692374,44.00265802867242,0.2928512860103625,0.4050249463195215,0.44195344224176186,0.2507376780350372,0.055823461241332854,0.09193225609517856,0.9998516387692814,0.9998592723489742,0.025763402571400404,0.0696272032517156,0.004226547410001199,0.003713730729836828,10
32,GradientBoostingRegressor,diabetes,0,353,89,0.010168,5.035843,42,,2932.7951034275384,3294.009146267738,46.34559243127582,48.71205229625542,0.5191888128000126,0.3240651114825892,42.29969527535758,53.129809156180386,0.3459431105575228,0.4262720403048456,2932.7951034275393,3294.0091462677374,46.34559243127582,48.71205229625542,0.5191888128000125,0.3240651114825893,42.29969527535759,53.129809156180386,0.3459431105575228,0.4262720403048456,1.841563379603535e-27,1.0006656264700151e-27,3.321233750720015e-14,2.3791206208596614e-14,1.0,1.0,2.2711193570972214e-14,1.6235387602883018e-14,2.741303748314166e-16,2.1948571516976758e-16,10
33,DecisionTreeRegressor,diabetes,1,353,89,0.003475,1.037566,42,10,98.30664373398085,6182.08712685532,4.48559287737758,63.93489388264669,0.9830206202652478,0.025588755471357638,4.099646909413633,50.865134482739315,0.06634035885908185,0.4831022585290079,98.30664373398085,6006.682086841424,4.485592877377583,63.26678074820267,0.9830206202652478,0.05323583320244707,4.099646909413633,50.62737180144252,0.06634035885908185,0.4761993853651897,8.080796128269628e-29,39.72738927707784,3.723807538686078e-15,0.6681131344440147,1.0,0.9935669738222054,3.5306029034439897e-15,0.5567609453700124,6.014692885474522e-17,0.03921656856906775,
34,RandomForestRegressor,diabetes,1,353,89,0.016232,4.981264,42,4,2146.3902316889194,3203.7338772254016,38.25796977296516,45.133971711316924,0.6292786182241382,0.495032300517942,36.02343339101902,37.40616137771671,0.30998503166086927,0.3477760927675176,2146.0660298366224,3200.469448329193,38.26544661619389,45.17199090166539,0.62933461389393,0.49554683487473106,36.01928346925909,37.42829458152018,0.30996161990769056,0.34759886523907463,0.5769795231628221,0.43025104621895266,0.08696694325023198,0.11078613489361193,0.9997900088091317,0.9998500118103832,0.040273063816421116,0.05515663215732448,0.005018879275290753,0.004098195788131451,10
35,GradientBoostingRegressor,diabetes,1,353,89,0.009716,4.938864,42,,2955.5105919970783,3655.12470506534,46.752312543514265,49.213632074569084,0.4895285329097836,0.4238847593560521,44.358009508546544,40.39456441673303,0.3637496984021099,0.3714690254989012,2955.5105919970792,3636.8338221518907,46.75231254351427,49.12913691126556,0.4895285329097834,0.4267677407210022,44.35800950854655,40.36449496360011,0.36374969840210997,0.37053841183352615,1.658494015989639e-27,0.6354095033305479,3.41785145983187e-14,0.08449516330356496,1.0,0.9994938120168466,2.324497378523439e-14,0.0499960453888786,2.7248546206385975e-16,0.005107877324083666,10
36,DecisionTreeRegressor,diabetes,2,354,88,0.003591,1.101838,42,10,87.83879136400323,6897.958611578154,4.5452179176755445,64.571387987013,0.9849784278810595,-0.1021595253094667,4.181778662572558,52.550366757008064,0.06145841798726075,0.551229172676437,87.83879136400323,6893.729849264939,4.545217917675547,64.38939762888627,0.9849784278810595,-0.10148385139980332,4.181778662572558,52.27832172644029,0.06145841798726075,0.5510601824978156,1.8839959426837633e-28,3.733473683112106,6.964924556744485e-15,0.22744490358127853,1.0,0.9994220917856823,7.472801160136538e-15,0.23130903860074803,9.000739296910122e-17,0.012547500722993288,
37,RandomForestRegressor,diabetes,2,354,88,0.015715,5.148093,42,4,2074.233117625131,3584.092909722918,36.48591274187829,49.239356965284635,0.6452792452621403,0.4273317132673433,33.411930078245774,42.43671265030679,0.2986530697896981,0.3973393080810755,2074.256006774562,3599.277225076713,36.482447214851916,49.34912382196612,0.6452753309208386,0.4249055552190192,33.41055321151348,42.552627987831784,0.2986547176025273,0.3981800994380948,0.23715120616534405,0.7821855615415444,0.04271812481109581,0.17158833668592263,0.9999164948714525,0.9996972323270714,0.024302344014432858,0.1082908930323549,0.003200793795752309,0.0059235164897844346,10
