,ensemble_model,ds,fold_id,train_size,test_size,ensemble_time,dl_time,param_random_state,param_max_depth,ensemble_metric_mse_train,ensemble_metric_mse_test,ensemble_metric_mae_train,ensemble_metric_mae_test,ensemble_metric_r2_train,ensemble_metric_r2_test,ensemble_metric_wape_train,ensemble_metric_wape_test,ensemble_metric_rmse_perc_train,ensemble_metric_rmse_perc_test,dl_metric_mse_train,dl_metric_mse_test,dl_metric_mae_train,dl_metric_mae_test,dl_metric_r2_train,dl_metric_r2_test,dl_metric_wape_train,dl_metric_wape_test,dl_metric_rmse_perc_train,dl_metric_rmse_perc_test,dl_ens_metric_mse_train,dl_ens_metric_mse_test,dl_ens_metric_mae_train,dl_ens_metric_mae_test,dl_ens_metric_r2_train,dl_ens_metric_r2_test,dl_ens_metric_wape_train,dl_ens_metric_wape_test,dl_ens_metric_rmse_perc_train,dl_ens_metric_rmse_perc_test,param_n_estimators
20,DecisionTreeRegressor,boston,0,404,102,0.00352,0.962325,42,10,0.8931380350381515,12.210522689752427,0.5624149741250789,2.6690348386715166,0.9907932102526539,0.6464324973902078,3.11002412064024,13.379816551532308,0.041879645181091926,0.15599120092656404,0.8931380350381515,12.210522689752427,0.5624149741250789,2.6690348386715166,0.9907932102526539,0.6464324973902078,3.1100241206402406,13.379816551532308,0.041879645181091926,0.15599120092656404,9.37260481450707e-32,1.2374288709349205e-31,2.63815372188156e-17,3.483052626275001e-17,1.0,1.0,4.855497647634772e-16,1.3094182805545117e-16,1.3566688523495605e-17,1.518361929679594e-17,
21,RandomForestRegressor,boston,0,404,102,0.020119,7.795948,42,6,5.057865357070348,8.677125852214685,1.6409412575003843,2.23618356468578,0.9478616954086574,0.7487454226694847,8.521618255023501,12.040903115271123,0.09966148022670439,0.13149853738165568,5.285393220525424,8.643920027163345,1.6662614157985343,2.22985534378455,0.9455162559375858,0.7497069294725762,8.627138181470258,12.025503122812117,0.10187845563216372,0.13124668538676715,0.12697558177160578,0.0020423653685137564,0.04124634617873821,0.006328220901233682,0.9984764370964437,0.9999131005321472,0.15095666642460565,0.014371533828514318,0.015846889456571683,0.0019103256656208458,10
22,GradientBoostingRegressor,boston,0,404,102,0.017573,6.99981,42,6,14.463336297794038,13.065601758043085,2.898120855148521,2.834826878414324,0.8509067007394205,0.6216728553674169,16.231870933535284,14.524493952799366,0.1685302804385169,0.16136066775344485,15.259849250878228,13.263227982174282,2.9557938036084805,2.859676104399722,0.8426959572682049,0.6159503967723469,16.44987617636852,14.604639577410614,0.1731086712855682,0.16257643329472427,0.2821798131072504,0.01866112915728516,0.07584300435318495,0.029879440386670522,0.9927514070135014,0.9981744755604031,0.30497056122665755,0.10286481079912145,0.023540011571590663,0.005898969868580843,10
23,XGBRegressor,boston,0,404,102,0.011385,7.014862,,6,2.6914630024040163,8.534161754167414,1.2017709146631825,2.1437456953759284,0.9722554263688522,0.7528850864982787,5.542535499616822,10.508146082156504,0.07270058548014091,0.1304107549768489,2.6914635953210313,8.534160490662352,1.2017711134399607,2.143745439861197,0.9722554202568492,0.7528851230842907,5.542536389901266,10.508144399112632,0.07270059348794404,0.13041074532302116,2.619243473275031e-12,2.385644670113895e-12,1.2091419072569378e-06,1.2922754526946547e-06,0.9999999999999688,0.9999999999999171,5.686931878459326e-06,6.059074523044732e-06,7.427331629705315e-08,6.87851678282916e-08,10
24,DecisionTreeRegressor,boston,1,405,101,0.003506,1.072629,42,10,0.42932142914779076,28.49531175555987,0.3610116079353552,3.749093611041776,0.9947424174275159,0.6869911246248099,2.006427495810625,15.040531165867202,0.02969967860114561,0.21857946216534474,0.42932142914779076,28.49531175555987,0.36101160793535586,3.749093611041776,0.9947424174275159,0.6869911246248099,2.0064274958106263,15.040531165867202,0.02969967860114561,0.21857946216534474,3.967678182556052e-30,0.0,8.223874256482641e-16,0.0,1.0,1.0,5.082451181876791e-15,0.0,9.028771999404436e-17,0.0,
25,RandomForestRegressor,boston,1,405,101,0.02041,7.081232,42,6,4.4097836325654916,14.653019951635965,1.511789946671754,2.7650940025285378,0.9459966356186219,0.8390428104364609,7.968730350475996,11.06950306709934,0.09518512990950959,0.1567423006776494,4.409783632565487,14.648947771945444,1.511789946671754,2.7640543985681387,0.945996635618622,0.8390875415977196,7.968730350476004,11.066424999126708,0.09518512990950953,0.15672051925758781,1.3174951019543023e-28,0.00015866336633664054,9.280916227582544e-15,0.0014356435643621123,1.0,0.9999978326416732,4.498410288522082e-14,0.004215200086838771,5.212066036515002e-16,0.0005625967696385018,10
26,GradientBoostingRegressor,boston,1,405,101,0.017177,6.788855,42,6,12.18299635161823,43.17651405316576,2.6466135187086826,3.972469128165926,0.8508038384525733,0.5257243639818894,15.215595646153357,13.511195440851978,0.1582113088748142,0.269058325174915,12.897132773939765,42.81510741867704,2.7111315023721714,3.903986911325788,0.8420583369391108,0.5296942620895096,15.576321457618892,13.16814593136125,0.1627822517732418,0.2679298898852272,0.2072939764012593,0.1400393422276578,0.1635805037604984,0.14865611173766502,0.9936920792663618,0.9941963602019981,0.7763927231133859,0.662084804131227,0.020637344199191113,0.017068392764289245,10
27,XGBRegressor,boston,1,405,101,0.027235,6.74298,,6,2.6608575685888445,16.528544837951284,1.194488774758798,3.0939909963324523,0.9674144418827522,0.8184409675635119,5.7422507742839075,12.850291395607288,0.07393860975679009,0.16647152451819966,2.6608567688637326,16.422684650842402,1.1944885521842734,3.087993978121784,0.9674144516763952,0.8196037966772343,5.7422497523766225,12.83003122769856,0.07393859864560397,0.16593756903031165,3.3738414656732104e-12,0.0036319505858942213,1.3788437938900681e-06,0.005997879371985985,0.9999999999999512,0.9999472926865541,6.49286242509187e-06,0.02929929780739158,8.615963592206368e-08,0.002712768412001019,10
28,DecisionTreeRegressor,boston,2,405,101,0.003807,0.982213,42,10,0.9265211922255784,30.735571918559547,0.5438934468174234,3.9585134532828636,0.986663518981116,0.6162236826287311,2.7983566985391137,13.167119196484943,0.04640139523174687,0.1866344522337766,0.9265211922255783,30.87047015838353,0.5438934468174239,3.982110813018837,0.986663518981116,0.6145392906858482,2.798356698539115,13.261132581887228,0.04640139523174686,0.18704357256134932,5.381784397841125e-30,0.05624037403740372,1.0636210705050882e-15,0.02359735973597361,1.0,0.9994235674365576,7.897346997451816e-15,0.10069997042378503,1.1183210726158733e-16,0.008115535162897798,
29,RandomForestRegressor,boston,2,405,101,0.021886,7.088571,42,6,4.954778681827485,24.441492279761103,1.5662244708654256,3.6768752650813283,0.9286801938288801,0.6948140114965323,8.477768897599326,12.019351334085792,0.10730389607159836,0.16643130794600128,4.954778681827485,24.2440819902542,1.5662244708654256,3.6620605738979224,0.9286801938288801,0.697278953229808,8.47776889759933,11.971130949031451,0.10730389607159836,0.16575782485158463,6.555336732151395e-29,0.006011297223717426,6.0154898894751695e-15,0.017058915605848008,1.0,0.9999200709419437,3.4106978021113124e-14,0.06511860989355614,3.9067749577577684e-16,0.0027401604387061874,10
